sentence,length
"How much CGPA I require to get an admission for MTech CSE at IIT Madras?",72
"Is there a biological reason that people cry when they are emotional?",69
"What are 5 facts about the earth's crust?",41
"Why does ISRO not use friction stir welding technology?",55
"I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?",147
"What would be the best way to quit smoking?",43
"Which is the best programing language for tcs?",46
"Earthquake resistant homes?",27
"Is Kristen Stewart a bad actress?  Why or why not?",50
"Why do some Japanese guys try to look feminine? Don't the girls find it gross?",78
"What are the five most popular sugar daddy websites?",52
"What is the VTU 1st sem exam time table of 2016 (Dec)?",54
"What is the best phone to buy below 15k?",40
"How do we start a business?",27
"What's the best near-death experience you've ever had?",54
"Why do I keep getting fleas from my dogs?",41
"What year did the letter J come?",32
"Harvard College Courses: What is general shopping advice for Turkish classes?",77
"How do I send message from one Android phone to another Android phone through bluetooth?",88
"What are the most important books ever written?",47
"What universities does Sigma Designs recruit new grads from? What majors are they looking for?",94
"Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?",74
"What universities does Powell Industries recruit new grads from? What majors are they looking for?",98
"What are some of the best movie posters you have come across?",61
"What are some examples of deuteromycota and how are they formed?",64
"How racist is too racist?",25
"Are there any differences between however and nevertheless?",59
"Are Canada Geese really Canadian?",33
"How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?",90
"How do I edit my devices on my Google play account?",51
"How can I become a good speaker?",32
"How can I write a letter to Mr. Narendra Modi?",46
"Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?",83
"Why do they name bastards Snow?",31
"What do you think about the Bermuda Triangle?",45
"Do Mexican girls like black guys?",33
"Have you lived in a tiny house?",31
"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?",108
"Can you debeak cockerels at 8 months old?",41
"What should someone do to overcome anxiety?",43
"How do we avoid whey in Yogurt?",31
"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?",121
"What is the best university in Germany for an MS?",49
"How do I maintain my peace of mind?",35
"Which car has good build quality in india?",42
"Why does massaging one's temples soothe a migraine or headache?",63
"Which one is better among KMC Manipal and KMC Mangalore?",56
"Why are my bestfriend still ignoring me?",40
"What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?",91
"How do I keep motivation to learn a language?",45
"What are the top assessment companies in India?",47
"What does @ mean as an emoticon?",32
"Is a pinkish discharge normal in early pregnancy? What causes it?",65
"What are the best ways to properly finger yourself?",51
"How do scientists work?",23
"How many sponsored candidates are shortlisted for CMC vellore?",62
"What is the different between Chinese wedding ceremony and western wedding ceremony?",84
"What is the condition of tourism in Pakistan?",45
"What is the different between offshore and onshore funds?",57
"Why should one hate Shahrukh Khan?",34
"What are the best self-help books you've ever read?",51
"Is Evernote useful?",19
"A title for my continuation to The Gift of the Magi?",52
"What is a good song to lyric prank your best friend?",52
"I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?",148
"How do I pass a drug test for methamphetamine?",46
"How could start with open source development?",45
"Why do dreams look so real?",27
"Do cricket players really drink tea on a tea break?",51
"How can I get entry in MIT?",27
"Does a fetus breathe when it's inside a womb?",45
"What are movies with incest scenes?",35
"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?",118
"According to the International Federation of Robotics, how many robots existed in 2012?",87
"Why is Oberon mad at Titania in A Midsummer Night's Dream?",58
"Do you regret your divorce?",27
"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",126
"Is it right to tell a girl the you have feelings for her?",57
"Is Donald Trump taking cocaine, as Howard Dean suggests?",56
"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?",143
"Which is more financially beneficial: being in a firm or teaching in an architecture college?",93
"How can I see the Comedy Nights with Kapil live show?",53
"Why is sandeep maheshwari not on Quora?",39
"What is the biggest monster in Monster Hunter?",46
"How can I convince people to stop blaspheming against the Holy Spirit?",70
"Why can't I stop watching porn?",31
"How can I start trusting any one?",33
"What's your bucket list?",24
"How did you first come across porn?",35
"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?",111
"Why can’t charged molecules pass through the lipid cell membrane?",67
"How does it feel to be a spouse of a renowned porn star?",56
"What is the best hostel booking affiliate program?",50
"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?",135
"What can I eat every day to be more healthy?",44
"How do I make free calls to family members on Airtel Andhra Pradesh?",68
"What would Hillary Clinton do now that the election is over?",60
"Should I use Vicks Vapor Rub for a stuffy nose?",47
"How I start prepare for UGC net English literature latest syllabus?",67
"How did early Europeans get protein before the Columbian Exchange?",66
"What is the best forum for graphic designers?",45
"Is Alex Jones a satirical show?",31
"Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?",79
"Why can't we fall asleep on some days?",38
"Which Marvel movies have not included Stan Lee cameos?",54
"What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?",118
"What does the 10/6 label on the Mad Hatter's hat mean?",54
"Who wrote the Kars for Kids jingle?",35
"Why is Saltwater Taffy candy imported in Greece?",48
"What are the minimum requirements to enter MIT?",47
"How do you answer a question on Quora?",38
"Israel vs Iran: who would win?",30
"When is it too late to learn the piano?",39
"What are natural numbers?",25
"Is One Plus 3T 4G VoLTE enabled phone?",38
"How do I enter a new email ID which I can access to recover my Facebook ID?",75
"How we can travel faster than light?",36
"What is it like being a firefighter?",36
"What are the factors that causes data inconsistency in distributed platform/application?",88
"What are the differences between POCSO and sexual offenses in the IPC?",70
"What is an alternative for the word is?",39
"What is considered an illegal screen in the NBA?",48
"Nothing excites me anymore. How do I regain that excitement?",60
"What are the life lessons that Batman teaches us?",49
"How do you stop a criminal's attempt to kidnap you so you escape unharmed?",74
"How do I sell on Amazon?",24
"Daniel Ek: When an we expect Spotify in India?",46
"What are the top 10 books one should read in his or her early 20s?",66
"Which book should I start with for the GATE preparation?",56
"What does the phrase He who does not love abides in death exactly mean?",71
"What is similar to 4Shared?",27
"Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?",118
"Considering the current trend of information technology what is the future of print media?",90
"What is the best recipe for chicken pizza?",42
"What are some good places to learn mountaineering in India?",59
"Do new table tennis balls damage rubbers?",41
"My new Xbox one S can't connect to internet during setup. Any solutions?",72
"Is it wrong for me to be content with my life?",46
"Is gravity only a theory?",25
"How could I become a fighter pilot when I have less than the required eyesight?",79
"Operation executive salary in Infosys?",38
"Have cavemen been scientifically tested?",40
"Can climate change be reversed?",31
"How should ask my crush for her number?",39
"Why do I believe that gravitation force exist?",46
"Did Mahabharata really happen?",30
"Can Congress stop Presidents from starting a major war?",55
"Is it safe to lose 25 pounds in 1 month?",40
"What are some cute shounen ai series?",37
"Why are police lights red and blue?",35
"How do I post a question that was marked as needing improvement?",64
"Who owns nature?",16
"How can I install OBB/data file on an Android?",46
"What is garbage value? And Why do we get garbage value in c?",60
"How do I prepare for software interviews?",41
"Does Rahul Gandhi have any chance to become next PM of India after Modi?",72
"Is noon 12 am or 12 pm?",23
"What is the difference between a comet and an asteroid?",55
"Is chocolate milk good for you?",31
"How should I study",18
"Which country is best for higher education and work?",52
"What is the painting on this image?",35
"Which are the major highways in California and how are they compared to the major highways in Tennessee?",104
"What's beyond our Universe?",27
"Is growing of hair a physical or a chemical change?",51
"What is the difference between culture and history?",51
"What does it mean when a guy says I like you?",45
"What makes a programmer good?",29
"What will most likely cause World War III?",42
